household_key,frequency,recency,T,monetary_value,gasto_esperado,prob_vivo,clv_12m,nivel_valor,estado,segmento
1279,156.0,620.0,622.0,30.469615384615388,30.483826284182676,0.99989863663268,2556.2974844363403,Alto,Activo,Alto · Activo
1280,20.0,600.0,622.0,20.2065,20.404601715549088,0.9990163351162548,233.0360008240366,Bajo,Activo,Bajo · Activo
1281,29.0,600.0,616.0,27.066206896551723,27.162481502825198,0.9992916478461409,444.61988447150037,Bajo,Activo,Bajo · Activo
1282,157.0,601.0,620.0,37.821592356687894,37.82761391419878,0.9922561361131117,3177.903383380182,Alto,En riesgo,Alto · En riesgo
1283,46.0,590.0,593.0,7.153695652173913,7.2891925743121035,0.9997394794140443,193.0542057866412,Bajo,Activo,Bajo · Activo
1284,133.0,700.0,701.0,14.629924812030074,14.667183613376029,0.9999128552322519,933.9064176113366,Medio,Activo,Medio · Activo
1285,124.0,633.0,635.0,39.623306451612905,39.62841605325,0.9998858751440182,2594.5560445212136,Alto,Activo,Alto · Activo
1286,25.0,556.0,659.0,23.6384,23.773549162224533,0.9699907058377343,307.1043849422311,Bajo,En riesgo,Bajo · En riesgo
1287,97.0,696.0,708.0,28.71783505154639,28.743795589567988,0.9994823477145572,1326.604974252538,Medio,Activo,Medio · Activo
1288,43.0,651.0,654.0,43.19093023255814,43.191318688799825,0.9997313757305148,973.4275178432415,Medio,Activo,Medio · Activo
1289,384.0,707.0,708.0,3.9012760416666663,3.919027017133951,0.9999570566478108,708.4134503659169,Medio,Activo,Medio · Activo
1290,27.0,654.0,663.0,37.5337037037037,37.57036757758323,0.9994937805193197,534.6971556354916,Bajo,Activo,Bajo · Activo
1291,99.0,679.0,683.0,32.99484848484848,33.012818448025804,0.9998271879306316,1611.0714220179239,Medio,Activo,Medio · Activo
1292,25.0,683.0,698.0,20.3572,20.514917362933186,0.999345192588743,258.0281756414858,Bajo,Activo,Bajo · Activo
1293,155.0,640.0,641.0,17.821290322580648,17.849705763320195,0.999921211037961,1444.0675256324853,Medio,Activo,Medio · Activo
1294,53.0,599.0,601.0,90.45264150943396,90.29906394301861,0.9997860487786424,2708.5743005038103,Alto,Activo,Alto · Activo
1295,61.0,658.0,661.0,25.729344262295083,25.77904089879523,0.9997938012333835,807.7534720699829,Medio,Activo,Medio · Activo
1296,77.0,631.0,634.0,27.243246753246755,27.279243470357304,0.9998213114407137,1118.6256113528314,Medio,Activo,Medio · Activo
1297,123.0,686.0,686.0,22.171463414634147,22.201146159100563,0.9999220531163738,1336.62798720572,Medio,Activo,Medio · Activo
1298,47.0,594.0,606.0,31.498510638297873,31.54178136598718,0.999478100770844,834.8158290700493,Medio,Activo,Medio · Activo
1299,134.0,665.0,665.0,43.85373134328358,43.85300103595805,0.9999284044910112,2962.701901710043,Alto,Activo,Alto · Activo
1300,72.0,679.0,680.0,40.386944444444445,40.393903511258834,0.9998527219764519,1447.782005109337,Medio,Activo,Medio · Activo
1301,69.0,676.0,677.0,20.99217391304348,21.047980270442032,0.9998470078978685,726.7341210792298,Medio,Activo,Medio · Activo
1302,32.0,610.0,613.0,23.3675,23.474702247362075,0.999655799172688,424.27608443862727,Bajo,Activo,Bajo · Activo
1303,169.0,610.0,613.0,36.80621301775148,36.81284664526266,0.9998706402615603,3389.940040740938,Alto,Activo,Alto · Activo
1304,81.0,650.0,651.0,11.047037037037036,11.1158063215571,0.9998664677040193,466.7905890662606,Bajo,Activo,Bajo · Activo
1305,239.0,586.0,616.0,31.270753138075314,31.279452486472824,0.15716458641335218,635.6226169379778,Bajo,En riesgo,Bajo · En riesgo
1306,147.0,625.0,628.0,20.511496598639457,20.53829174824998,0.9998686029569493,1608.5736147803057,Medio,Activo,Medio · Activo
1307,147.0,609.0,613.0,13.893061224489795,13.927642625548794,0.9998302202108561,1116.969452407196,Medio,Activo,Medio · Activo
1308,22.0,566.0,698.0,12.25090909090909,12.493264392158956,0.9496120838412208,132.38890033222637,Bajo,En riesgo,Bajo · En riesgo
1309,5.0,533.0,694.0,25.874000000000002,26.45682831357331,0.991434455928398,81.09802427913343,Bajo,En riesgo,Bajo · En riesgo
1310,30.0,600.0,619.0,28.433,28.51824083730505,0.9991825350988108,479.78992714156766,Bajo,Activo,Bajo · Activo
1311,14.0,526.0,630.0,47.25714285714286,47.20865254599675,0.9901100511911008,380.1844735623555,Bajo,En riesgo,Bajo · En riesgo
1312,113.0,641.0,649.0,44.73345132743363,44.731239638073845,0.9996573086895132,2614.6743214801845,Alto,Activo,Alto · Activo
1313,28.0,587.0,598.0,34.46285714285714,34.517091925075036,0.9994295801123224,562.6690112357788,Bajo,Activo,Bajo · Activo
1314,311.0,663.0,664.0,45.972733118971064,45.971239175197894,0.9999507522932878,7174.671904435242,Alto,Activo,Alto · Activo
1315,4.0,564.0,651.0,114.52,111.56460913519317,0.9958291499516957,309.195115217408,Bajo,En riesgo,Bajo · En riesgo
1316,51.0,687.0,705.0,72.50490196078431,72.40604737475982,0.999292792401246,1787.6790061097088,Alto,Activo,Alto · Activo
1317,173.0,687.0,691.0,23.241560693641617,23.261603284567634,0.999849374820068,1948.9651284179026,Alto,Activo,Alto · Activo
1318,70.0,601.0,615.0,79.113,79.02460667953615,0.9993140653385308,3039.3525437105363,Alto,Activo,Alto · Activo
1319,43.0,640.0,672.0,24.064418604651163,24.141512077546412,0.9981447614667563,528.9278807695114,Bajo,En riesgo,Bajo · En riesgo
1320,13.0,675.0,679.0,22.31153846153846,22.587240655056405,0.9992488916665732,159.52969556217104,Bajo,Activo,Bajo · Activo
1321,177.0,637.0,638.0,9.95819209039548,9.99076329885147,0.9999284851456438,926.1787952002188,Medio,Activo,Medio · Activo
1322,14.0,619.0,642.0,16.142142857142854,16.473759074998263,0.9988779296771594,131.38604484616314,Bajo,Activo,Bajo · Activo
1323,9.0,663.0,668.0,28.392222222222223,28.67337390201227,0.9989554527308874,148.83857020365647,Bajo,Activo,Bajo · Activo
1324,41.0,622.0,634.0,62.49365853658537,62.41289384405475,0.9994889275505008,1384.6331162407507,Medio,Activo,Medio · Activo
1325,61.0,630.0,632.0,44.66819672131148,44.66428968737659,0.9998105906260755,1462.565222156358,Medio,Activo,Medio · Activo
1326,240.0,625.0,629.0,36.735458333333334,36.740181934750794,0.9998175619330312,4672.488615684251,Alto,Activo,Alto · Activo
1327,8.0,296.0,598.0,44.945,44.90989333735943,0.5851867746501339,137.68889382690583,Bajo,En riesgo,Bajo · En riesgo
1328,71.0,650.0,651.0,35.59788732394366,35.6165944250815,0.9998502041189614,1314.2701919521023,Medio,Activo,Medio · Activo
1329,28.0,657.0,667.0,51.78964285714286,51.737393634182986,0.9994835085130012,757.6895618872256,Medio,Activo,Medio · Activo
1330,79.0,671.0,675.0,26.85822784810127,26.894157236695076,0.9998065307747359,1063.4138739227028,Medio,Activo,Medio · Activo
1331,96.0,659.0,692.0,18.925520833333334,18.969380530550755,0.9892752497574296,877.2470727969841,Medio,En riesgo,Medio · En riesgo
1332,57.0,651.0,656.0,35.25105263157895,35.27539089013257,0.9997412020431031,1042.220501610487,Medio,Activo,Medio · Activo
1333,122.0,632.0,638.0,63.0194262295082,62.99146289494125,0.9997524610430965,4039.1646253630875,Alto,Activo,Alto · Activo
