COMMODITY_DESC,encarecido,normal,rebajado,efecto_rebaja_pct,n_total,n_rebajado
BABY FOODS,1.5442368699330278,1.5133450652588356,1.6381322957198443,8.24578830867404,20330,3855
DINNER MXS:DRY,1.6715462031107045,1.5015788496068354,1.6166174609869253,7.661176861289087,19615,2371
REFRIGERATED,1.396280400572246,1.3120170968272233,1.4123595505617978,7.647953214727687,7672,890
BAKING NEEDS,1.2757390417940877,1.205790519443656,1.2940298507462686,7.317965258453496,14541,2010
PORK,1.2368312757201647,1.2575250836120402,1.344797332865415,6.9400006720103935,14147,5699
CARROTS,1.076808721506442,1.0469196246430028,1.1188290746712974,6.868669603248256,8500,4031
SUGARS/SWEETNERS,1.1147986942328618,1.1023161109697124,1.1774408087257249,6.815168263296534,11364,3759
HEAT/SERVE,1.1944444444444444,1.1951097804391217,1.273972602739726,6.598793147825099,6339,219
PET CARE SUPPLIES,1.0539568345323742,1.1151560178306092,1.1845238095238095,6.220456203800628,3138,168
DRY NOODLES/PASTA,1.3674280039721947,1.256220529561117,1.3338601343342553,6.180412033248883,17323,2531
CAT LITTER,1.1263440860215055,1.1169811320754717,1.1844262295081966,6.0381590607000435,3266,244
CHEESE,1.3782564565241908,1.2582095816760939,1.3341308317068563,6.034070248425993,74783,15883
BEERS/ALES,1.1448669201520913,1.0997595157144042,1.1652061019149627,5.9509906725421,17770,3081
SOFT DRINKS,1.4552681388012618,1.3625797161077968,1.4432109308283518,5.917541099971579,117209,2342
PROCESSED,1.2228915662650603,1.0966884709730171,1.1608695652173913,5.852263057660356,5288,230
HAIR CARE PRODUCTS,1.0674333507579719,1.063063063063063,1.1250836120401337,5.834136386826128,12066,1495
HARDWARE SUPPLIES,1.236842105263158,1.2277730736663843,1.2989690721649485,5.798791325986508,1354,97
PICKLE/RELISH/PKLD VEG,1.0523012552301256,1.0710227272727273,1.1302521008403361,5.5301696275326995,7062,952
VALENTINE,1.1111111111111112,1.1717557251908397,1.2352941176470589,5.42249473079135,620,51
FROZEN,1.2413793103448276,1.244283536585366,1.3114754098360655,5.400045188662661,2743,61
PASTA SAUCE,1.342311459353575,1.2790974961019903,1.3467898832684826,5.292199177371759,15001,2056
CONDIMENTS/SAUCES,1.1348218119364535,1.1357621303708545,1.1945750452079567,5.178277498819073,23457,2765
HALLOWEEN,1.2195121951219512,1.2348284960422165,1.2982456140350878,5.135702504123563,897,57
CANDY - PACKAGED,1.33348697856649,1.3017740498812351,1.3685981308411215,5.133308730957031,33958,2675
CAKES,1.07035175879397,1.0834841628959275,1.1375921375921376,4.9938869943046305,5026,407
MOLASSES/SYRUP/PANCAKE MIXS,1.1240875912408759,1.0740982181660148,1.127659574468085,4.9866348715785325,5436,423
BREAKFAST SAUSAGE/SANDWICHES,1.5908045977011493,1.321013817072137,1.381558028616852,4.583162625725112,12861,629
SHAVING CARE PRODUCTS,1.104089219330855,1.0587544065804935,1.1059190031152648,4.454724933528342,3994,321
SQUASH,1.0204819277108435,1.0055555555555555,1.0467219291635268,4.093893507975044,2337,1327
FACIAL TISS/DNR NAPKIN,1.3018398806563898,1.3356576100024045,1.3890258939580764,3.9956560390934204,7792,1622
LAUNDRY ADDITIVES,1.0209580838323353,1.0402810304449648,1.0817438692098094,3.9857343882459872,4971,367
CANDY - CHECKLANE,1.5601783060921248,1.6288663160988992,1.6930841121495328,3.9424841324261495,35311,2675
AUTOMOTIVE PRODUCTS,1.22,1.1607445008460238,1.205128205128205,3.8237272931150423,1064,273
GARDEN CENTER,1.9808612440191387,1.9272727272727272,2.0,3.7735849056603765,612,128
PNT BTR/JELLY/JAMS,1.1900874635568512,1.0823565076798707,1.1226765799256506,3.725211791095484,12956,1345
POPCORN,1.244047619047619,1.209113300492611,1.2535211267605635,3.6727597198591866,4441,213
FROZEN MEAT,1.1644144144144144,1.2382698738000215,1.2816901408450705,3.506526966678125,10141,426
BABY HBC,1.1557632398753894,1.1051413881748071,1.14321608040201,3.4452326765252117,4609,398
ICE CREAM/MILK/SHERBTS,1.0526315789473684,1.1021485252283276,1.1394052044609666,3.380368287923874,27558,538
REFRGRATD JUICES/DRNKS,1.1903695408734603,1.1917742706838834,1.231631863882444,3.344391146797343,31440,5172
FD WRAPS/BAGS/TRSH BG,1.0564516129032258,1.096656665237891,1.1327623126338329,3.292338298797426,14118,2802
SALD DRSNG/SNDWCH SPRD,1.1197137280416396,1.080552970889273,1.115311510031679,3.2167362525319376,21318,4735
BAKED BREAD/BUNS/ROLLS,1.2250735097567496,1.187709022702741,1.2241408934707905,3.067407089755503,83117,11640
HAND/BODY/FACIAL PRODUCTS,1.0285714285714285,1.0595325054784515,1.0912162162162162,2.9903481558083422,3419,296
BLEACH,1.1492890995260663,1.0742173760112557,1.1058394160583942,2.9437282204981985,3813,548
MAKEUP AND TREATMENT,1.0400943396226414,1.04045683313976,1.0708955223880596,2.9255119750086767,5858,268
FLOUR & MEALS,1.0611353711790392,1.0538833147528799,1.0831353919239906,2.77564667374679,3341,421
REFRGRATD DOUGH PRODUCTS,1.268996117581808,1.3307471072169086,1.3653492647058822,2.6002053509129652,18930,2176
